run_id,config_name,temperature,density,time,A_D,A_SR,directory
87,T_250_high_rho,250,0.025,101,1.506015E+12,2.415222E+08,search_3_29_26/T_250_high_rho/run_007
88,T_250_high_rho,250,0.025,101,2.644057E+11,7.001865E+08,search_3_29_26/T_250_high_rho/run_008
89,T_250_high_rho,250,0.025,101,5.736123E+11,4.493918E+08,search_3_29_26/T_250_high_rho/run_009
90,T_250_high_rho,250,0.025,101,2.897982E+12,3.535172E+07,search_3_29_26/T_250_high_rho/run_010
91,T_250_high_rho,250,0.025,101,1.417311E+11,6.427113E+07,search_3_29_26/T_250_high_rho/run_011
92,T_250_high_rho,250,0.025,101,9.142834E+12,2.572777E+07,search_3_29_26/T_250_high_rho/run_012
93,T_250_high_rho,250,0.025,101,4.233153E+12,1.323472E+07,search_3_29_26/T_250_high_rho/run_013
94,T_250_high_rho,250,0.025,101,3.485664E+12,3.153344E+08,search_3_29_26/T_250_high_rho/run_014
95,T_250_high_rho,250,0.025,101,5.161333E+12,8.461294E+08,search_3_29_26/T_250_high_rho/run_015
96,T_250_high_rho,250,0.025,101,1.712808E+11,1.486673E+07,search_3_29_26/T_250_high_rho/run_016
97,T_250_high_rho,250,0.025,101,8.443494E+12,5.137947E+07,search_3_29_26/T_250_high_rho/run_017
98,T_250_high_rho,250,0.025,101,6.974353E+11,7.316816E+06,search_3_29_26/T_250_high_rho/run_018
99,T_250_high_rho,250,0.025,101,7.738460E+12,8.409379E+06,search_3_29_26/T_250_high_rho/run_019
100,T_250_high_rho,250,0.025,101,3.007062E+11,1.453949E+06,search_3_29_26/T_250_high_rho/run_020
101,T_250_high_rho,250,0.025,101,1.303127E+11,8.444472E+07,search_3_29_26/T_250_high_rho/run_021
102,T_250_high_rho,250,0.025,101,1.019499E+12,5.816245E+06,search_3_29_26/T_250_high_rho/run_022
103,T_250_high_rho,250,0.025,101,6.770583E+12,4.249868E+07,search_3_29_26/T_250_high_rho/run_023
104,T_250_high_rho,250,0.025,101,1.305796E+12,6.159119E+07,search_3_29_26/T_250_high_rho/run_024
105,T_250_high_rho,250,0.025,101,3.890493E+11,5.616268E+06,search_3_29_26/T_250_high_rho/run_025
106,T_250_high_rho,250,0.025,101,7.255273E+11,1.122370E+08,search_3_29_26/T_250_high_rho/run_026
107,T_250_high_rho,250,0.025,101,5.817572E+12,1.956344E+07,search_3_29_26/T_250_high_rho/run_027
108,T_250_high_rho,250,0.025,101,4.753946E+12,2.149534E+06,search_3_29_26/T_250_high_rho/run_028
109,T_250_high_rho,250,0.025,101,1.749888E+12,1.846759E+07,search_3_29_26/T_250_high_rho/run_029
110,T_250_high_rho,250,0.025,101,4.135994E+11,1.302170E+06,search_3_29_26/T_250_high_rho/run_030
111,T_250_high_rho,250,0.025,101,5.269121E+11,5.219454E+08,search_3_29_26/T_250_high_rho/run_031
112,T_250_high_rho,250,0.025,101,1.170211E+12,1.813350E+06,search_3_29_26/T_250_high_rho/run_032
113,T_250_high_rho,250,0.025,101,2.099131E+12,1.687344E+08,search_3_29_26/T_250_high_rho/run_033
114,T_250_high_rho,250,0.025,101,1.118045E+11,1.959955E+08,search_3_29_26/T_250_high_rho/run_034
115,T_250_high_rho,250,0.025,101,3.461551E+11,1.107542E+06,search_3_29_26/T_250_high_rho/run_035
116,T_250_high_rho,250,0.025,101,2.276826E+12,3.037068E+07,search_3_29_26/T_250_high_rho/run_036
117,T_250_high_rho,250,0.025,101,8.852886E+11,4.507090E+06,search_3_29_26/T_250_high_rho/run_037
118,T_250_high_rho,250,0.025,101,9.667636E+11,2.513948E+06,search_3_29_26/T_250_high_rho/run_038
119,T_250_high_rho,250,0.025,101,1.180724E+11,9.799584E+06,search_3_29_26/T_250_high_rho/run_039
