kmc_run_dir,run_dir,dpn_dir,zip_path,zip_rel_path,t_start,zip_analytical,method_1_qty,method_1_window,method_2_qty,method_2_window,method_3_qty,method_3_window,method_4_qty,method_4_window,sampling_rate
kmc_runs_v2_1.1,run_79,DPN_2000,kmc_runs_v2_1.1/run_79/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_79/DPN_2000/zip_length.csv,0.00113939,51226.56,2507.076075471698,6625,63880.454545454544,11,2287.2256013959864,16046,7168.513227513227,378,222.8680908241214
kmc_runs_v2_1.1,run_79,DPN_4000,kmc_runs_v2_1.1/run_79/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_79/DPN_4000/zip_length.csv,0.000935729,51227.81,4822.903352758647,13213,4765.452840711049,14345,12169.96807415036,971,14337.226648351649,728,286903.87477679277
kmc_runs_v2_1.1,run_79,DPN_500,kmc_runs_v2_1.1/run_79/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_79/DPN_500/zip_length.csv,0.00205902,51219.07,639.8759909399773,1766,760.1540469973891,766,566.1178299930891,8682,1401.095541401274,157,15317.715562942236
kmc_runs_v2_1.1,run_8,DPN_100,kmc_runs_v2_1.1/run_8/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_8/DPN_100/zip_length.csv,0.00120613,53125.78,116.87037037037037,1350,386.57142857142856,28,108.20509277536517,20264,302.29411764705884,51,562.8818552524144
kmc_runs_v2_1.1,run_8,DPN_1000,kmc_runs_v2_1.1/run_8/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_8/DPN_1000/zip_length.csv,0.000383272,53191.86,1167.9803891290921,12952,21418.14285714286,21,1115.204596956944,30890,6054.595890410959,146,429.0259950602294
kmc_runs_v2_1.1,run_8,DPN_2000,kmc_runs_v2_1.1/run_8/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_8/DPN_2000/zip_length.csv,0.000318256,53195.52,2291.1491592633547,26227,56498.954545454544,22,2264.943461649597,31147,5156.7011922503725,1342,432.5986302329319
kmc_runs_v2_1.1,run_8,DPN_4000,kmc_runs_v2_1.1/run_8/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_8/DPN_4000/zip_length.csv,0.000409016,53197.42,4438.858486950523,52186,4778.931130866881,25759,6164.096201052016,8555,14822.55598755832,1286,515179.60498826817
kmc_runs_v2_1.1,run_8,DPN_500,kmc_runs_v2_1.1/run_8/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_8/DPN_500/zip_length.csv,0.000886296,53184.53,588.6207978484985,6693,6594.0,21,551.4572524543267,30762,1232.4010840108401,369,427.25185814883514
kmc_runs_v2_1.1,run_80,DPN_100,kmc_runs_v2_1.1/run_80/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_80/DPN_100/zip_length.csv,0.00777904,19800.98,120.44615384615385,65,129.7741935483871,31,107.64107999553721,8963,122.23287671232876,73,618.8841342119717
kmc_runs_v2_1.1,run_80,DPN_1000,kmc_runs_v2_1.1/run_80/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_80/DPN_1000/zip_length.csv,0.00128185,19822.8,1178.8775235531627,743,7806.0,8,1064.7759830866808,11825,1617.0736842105264,190,164.23619002281387
kmc_runs_v2_1.1,run_80,DPN_2000,kmc_runs_v2_1.1/run_80/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_80/DPN_2000/zip_length.csv,0.00119606,19824.01,2295.084487534626,1444,2295.0329985652797,1394,2161.1962158374213,2854,2593.4258720930234,688,27889.07796601048
kmc_runs_v2_1.1,run_80,DPN_4000,kmc_runs_v2_1.1/run_80/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_80/DPN_4000/zip_length.csv,0.00121897,19824.62,4201.12729748128,2938,4321.915406620352,2447,4045.1366546618647,4998,6532.381052631579,475,48941.557727355976
kmc_runs_v2_1.1,run_80,DPN_500,kmc_runs_v2_1.1/run_80/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_80/DPN_500/zip_length.csv,0.00294123,19820.38,601.6074270557029,377,2934.75,8,540.0768628133704,11488,671.1421568627451,204,159.55848429983735
kmc_runs_v2_1.1,run_81,DPN_100,kmc_runs_v2_1.1/run_81/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_81/DPN_100/zip_length.csv,0.000512524,105138.25,115.90029325513197,4774,536.1212121212121,66,108.84283906348871,47410,258.21004566210047,219,1316.949631935637
kmc_runs_v2_1.1,run_81,DPN_1000,kmc_runs_v2_1.1/run_81/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_81/DPN_1000/zip_length.csv,0.000400403,105186.99,1159.570625969561,47702,1191.819841388598,33415,1712.8029855927791,5761,10547.695238095239,210,668306.5027539596
kmc_runs_v2_1.1,run_81,DPN_2000,kmc_runs_v2_1.1/run_81/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_81/DPN_2000/zip_length.csv,0.000273942,105189.78,2297.8663137424373,92560,2646.0294369918,29147,3603.817065556712,9610,8701.988882025942,1619,582946.5096660971
kmc_runs_v2_1.1,run_81,DPN_4000,kmc_runs_v2_1.1/run_81/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_81/DPN_4000/zip_length.csv,0.000194797,105191.08,4514.73495858284,176014,4518.096433175763,174525,22526.91796875,2048,36953.678409090906,880,3490492.070686132
kmc_runs_v2_1.1,run_81,DPN_500,kmc_runs_v2_1.1/run_81/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_81/DPN_500/zip_length.csv,0.000332849,105181.59,581.9888587523471,23965,582.5065547981122,22884,995.1515308770109,1927,1517.0380835380836,814,457677.06434857316
kmc_runs_v2_1.1,run_82,DPN_100,kmc_runs_v2_1.1/run_82/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_82/DPN_100/zip_length.csv,0.00783176,74970.58,127.45,40,229.76923076923077,13,107.87736056214317,9108,132.58536585365854,82,252.99193927004174
kmc_runs_v2_1.1,run_82,DPN_1000,kmc_runs_v2_1.1/run_82/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_82/DPN_1000/zip_length.csv,0.00285891,75017.41,1619.0979591836735,245,13291.714285714286,7,1096.2691226096738,10668,1763.0585106382978,188,148.16847509234105
kmc_runs_v2_1.1,run_82,DPN_2000,kmc_runs_v2_1.1/run_82/DPN_2000/zip_length.csv,kmc_runs_v2_1.1/run_82/DPN_2000/zip_length.csv,0.00475728,75020.0,3079.3216911764707,544,33039.125,8,2218.8376509634,10847,3864.565972222222,288,150.66269568421907
kmc_runs_v2_1.1,run_82,DPN_4000,kmc_runs_v2_1.1/run_82/DPN_4000/zip_length.csv,kmc_runs_v2_1.1/run_82/DPN_4000/zip_length.csv,0.00135772,75021.3,6178.767656090072,977,8019.904444444444,450,4413.999273858921,9640,7782.718940936864,491,9008.13139963338
kmc_runs_v2_1.1,run_82,DPN_500,kmc_runs_v2_1.1/run_82/DPN_500/zip_length.csv,kmc_runs_v2_1.1/run_82/DPN_500/zip_length.csv,0.00423835,75012.22,785.7241379310345,145,3628.1428571428573,7,546.899990538367,10569,686.7584905660377,265,146.78719651440605
kmc_runs_v2_1.1,run_83,DPN_100,kmc_runs_v2_1.1/run_83/DPN_100/zip_length.csv,kmc_runs_v2_1.1/run_83/DPN_100/zip_length.csv,0.0026339,108721.42,122.73006134969326,163,299.2,15,108.78043965903993,11145,122.70731707317073,164,309.57894404381733
kmc_runs_v2_1.1,run_83,DPN_1000,kmc_runs_v2_1.1/run_83/DPN_1000/zip_length.csv,kmc_runs_v2_1.1/run_83/DPN_1000/zip_length.csv,0.000908985,108818.61,1287.6163563829787,1504,1338.2761904761905,1260,1148.405765920826,4648,2839.8571428571427,147,25205.664810664017
